site,lat,lon
DE Solar 657 Brigham Rd,36.1053,-79.9692
Deep Branch Farm,34.670842,-79.199375
Deer Creek 2,38.628,-120.984
Delano Land 1,35.761217,-119.344408
Delco Farm,34.318997,-78.20905
Delta Electronics Fremont,37.48963,-121.949
Dement Farm LLC,36.27,-78.348333
Denmark Solar,33.347128,-81.142844
Department of Justice,38.548056,-121.44855
Dept of General Services -FTB,38.565,-121.343
Desert Green Solar Farm LLC,33.27055,-116.34805
Desert Harvest II LLC,33.8,-115.38
"Desert Harvest, LLC",33.8,-115.38
Desert Hot Springs Solar,33.923056,-116.53
Desert Quartzite,33.565,-114.753
"Desert Sunlight 250, LLC",33.8055,-115.3947
"Desert Sunlight 300, LLC",33.823056,-115.393889
Dessie Solar Center LLC,34.302778,-78.835833
DGS Central California Womens Facility,37.089701,-120.149966
DGS Valley State Prison,37.10117,-120.153072
DGS Wasco State Prison,35.593903,-119.407215
Diamond Solar,33.786193,-81.273625
Diamond Valley Solar Project,33.713056,-117.0725
Dibrell Farm,36.471667,-79.528056
Dinuba Wastewater Treatment Plant,36.538056,-119.426388
"Dissigno Healdsburg FPV, LLC",38.584405,-122.866189
Division 1,34.708333,-118.130556
Division 2,34.708333,-118.130556
Division 3,34.708333,-118.130556
Dixie Creek Dairy Solar,36.29907,-119.500218
Dixon Dairy Road Solar,35.199167,-81.410833
"Dogwood Solar, LLC",36.125,-77.409167
Donaghy-Stockton,37.909523,-121.194893
Double J Dairy Array,36.362673,-119.426019
Dover Dairy,36.415526,-119.553653
Downs Farm Solar,36.361944,-76.916944
Dragstrip Farm,35.758056,-81.416111
Drew Solar LLC,32.687195,-115.665593
DSH (CA) - Coalinga State Hospital,36.13726,-120.218453
Dulles,34.030119,-117.517753
Dunn,35.34854,-78.5532
Duplin Solar I LLC (160 Houston Lane),34.960083,-77.980388
Duplin Solar LLC,35.011944,-78.078333
Durham Solar,36.004941,-78.848475
E&B Resources,35.534584,-119.060029
EAFB - North Base,34.9325,-117.907222
EAFB - South Base,34.917222,-117.900278
Eagle Creek,35.214023,-119.39522
Eagle Solar,36.458327,-78.155087
East Nash PV2,35.955653,-78.093622
East Wayne Solar LLC,35.441667,-77.85
Eastover Farm,34.742222,-79.463056
Eastover Solar,33.918542,-80.6467
Eden Solar LLC,35.148503,-79.636372
Edenton Solar,36.054,-76.544
Edison Farm,36.51703,-79.709226
Edison Solar,33.244191,-81.386156
Edwards Air Force Base,34.9077,-117.9206
Edwards Sanborn E1A,34.961922,-118.124208
Edwards Sanborn E1B,34.964033,-118.094144
Edwards Sanborn E2,34.941507,-118.129025
Edwards Sanborn E3,34.946324,-118.126489
Edwards Sanborn E4,34.943575,-118.087989
Edwards Sanborn S1,35.02769,-118.13284
Edwards Sanborn S3,35.01644,-118.1225
Edwards Sanborn S4,35.012467,-118.119264
El Dorado County,38.698145,-120.828256
"El Dorado Solar, LLC",38.637,-121.059
ELACC Photovoltaic Power Facility,34.040278,-118.148056
"Eland Solar & Storage Center, Phase 1 Hy",35.2237,-117.977
Elevation Solar C,34.730263,-118.30425
Elk Solar LLC,34.983948,-79.276705
Elkhorn Dairy,36.47229,-119.346653
Ellerbe,35.1,-79.73
Elliana Solar,36.131111,-79.3325
Elm City Solar Facility,35.781111,-77.846944
"Elm Solar, LLC",35.453828,-79.189525
EMWD - Moreno Valley RWRF,33.868252,-117.214055
EMWD - Perris Valley RWRF,33.75998,-117.18766
EMWD - San Jacinto RES BCT,33.802869,-117.023567
