owner,customer,ssi,method
Southern Indiana Gas & Elec Co,Southern Indiana Gas & Elec Co,False,unmatched - passthrough
Bayonne Energy Center LLC,Bayonne Energy Center LLC,False,unmatched - passthrough
"OE Holdings, LLC","OE Holdings, LLC",False,unmatched - passthrough
"High Banks Wind, LLC","High Banks Wind, LLC",False,unmatched - passthrough
Mainline Generation LLC,Mainline Generation LLC,False,unmatched - passthrough
First Solar Project Development,First Solar,False,rule
Calpine Corp-Sutter,Calpine Group,False,rule
Calpine Corp - Metcalf Energy Center,Calpine Group,False,rule
Louisiana Generating LLC,Louisiana Generating LLC,False,unmatched - passthrough
"Shawville Power, LLC","Shawville Power, LLC",False,unmatched - passthrough
Lower Colorado River Authority,LCRA,False,rule
California Resources Elk Hills LLC,California Resources Elk Hills LLC,False,unmatched - passthrough
Air Liquide Large Industries U S LP,Air Liquide Large Industries U S LP,False,unmatched - passthrough
Tucson Electric Power Co,Fortis Group (TEP/UNS),False,rule
Wisconsin Public Service Corp,We Energies,True,rule
"Bastrop Energy Partners, LP","Bastrop Energy Partners, LP",False,unmatched - passthrough
