owner,customer,ssi,method
"Shieldwall Solar, LLC","Shieldwall Solar, LLC",False,unmatched - passthrough
University of Tennessee,Institutional Self-Generation (various),False,rule
Ursa Community Solar,Ursa Community Solar,False,unmatched - passthrough
"Bethel Solar, LLC","Bethel Solar, LLC",False,unmatched - passthrough
"Scale Sustainable I, LLC","Scale Sustainable I, LLC",False,unmatched - passthrough
Scenic Hill Solar III LLC,Scenic Hill Solar III LLC,False,unmatched - passthrough
Sartell Holdco LLC,Sartell Holdco LLC,False,unmatched - passthrough
"Affordable Solar Silver City, LLC","Affordable Solar Silver City, LLC",False,unmatched - passthrough
"Marshville Farm, LLC","Marshville Farm, LLC",False,unmatched - passthrough
Kearsarge Riverpark I LLC,Kearsarge Riverpark I LLC,False,unmatched - passthrough
Adkins Energy LLC,Adkins Energy LLC,False,unmatched - passthrough
"Syncarpha Northbridge II, LLC","Syncarpha Northbridge II, LLC",False,unmatched - passthrough
"Syncarpha Puddon I, LLC","Syncarpha Puddon I, LLC",False,unmatched - passthrough
"Syncarpha Puddon II, LLC","Syncarpha Puddon II, LLC",False,unmatched - passthrough
"Syncarpha Millbury, LLC","Syncarpha Millbury, LLC",False,unmatched - passthrough
"Syncarpha Northbridge I, LLC","Syncarpha Northbridge I, LLC",False,unmatched - passthrough
BAP Grounded 2 LLC,BAP Grounded 2 LLC,False,unmatched - passthrough
Kearsarge West Shore Solar LLC,Kearsarge West Shore Solar LLC,False,unmatched - passthrough
"Keen Farm, LLC","Keen Farm, LLC",False,unmatched - passthrough
Afton Solar LLC,Afton Solar LLC,False,unmatched - passthrough
"Williamston West Farm, LLC","Williamston West Farm, LLC",False,unmatched - passthrough
NRG Solar Las Vegas MB-1,NRG Energy Group,False,rule
"Syncarpha Blandford, LLC","Syncarpha Blandford, LLC",False,unmatched - passthrough
"Nash 97 Solar 2, LLC","Nash 97 Solar 2, LLC",False,unmatched - passthrough
"Citizens Solar Holdings IX, LLC","Citizens Solar Holdings IX, LLC",False,unmatched - passthrough
"Yanceyville Farm 3, LLC","Yanceyville Farm 3, LLC",False,unmatched - passthrough
"NextGrid Peppertree, LLC","NextGrid Peppertree, LLC",False,unmatched - passthrough
"Maine DG Solar Pittsfield, LLC","Maine DG Solar Pittsfield, LLC",False,unmatched - passthrough
"Entegrity Solar ADC, LLC","Entegrity Solar ADC, LLC",False,unmatched - passthrough
"Madison ESS, LLC","Madison ESS, LLC",False,unmatched - passthrough
"Chauncey Farm, LLC","Chauncey Farm, LLC",False,unmatched - passthrough
SkyHigh 2 Solar,SkyHigh 2 Solar,False,unmatched - passthrough
"Siler City Solar 2, LLC","Siler City Solar 2, LLC",False,unmatched - passthrough
53 SP Solar Trust,53 SP Solar Trust,False,unmatched - passthrough
"Bearford Solar II, LLC","Bearford Solar II, LLC",False,unmatched - passthrough
"Hanover Solar, LLC","Hanover Solar, LLC",False,unmatched - passthrough
"Arctaris Saddleback Solar, LLC","Arctaris Saddleback Solar, LLC",False,unmatched - passthrough
"Nickelson Solar 2, LLC","Nickelson Solar 2, LLC",False,unmatched - passthrough
Duke Energy Florida Solar Solutions,Duke Energy Group,False,rule
Dublin Street LLC,Dublin Street LLC,False,unmatched - passthrough
"Augustus Farm, LLC","Augustus Farm, LLC",False,unmatched - passthrough
Enfield Hammet Road Solar LLC,Enfield Hammet Road Solar LLC,False,unmatched - passthrough
"Howell Midland Farm, LLC","Howell Midland Farm, LLC",False,unmatched - passthrough
Norridgewock Martin Stream Solar LLC,Norridgewock Martin Stream Solar LLC,False,unmatched - passthrough
Leeds Route 106 Solar LLC,Leeds Route 106 Solar LLC,False,unmatched - passthrough
"Springfield Solar 1, LLC","Springfield Solar 1, LLC",False,unmatched - passthrough
AGA TAG Solar IV LLC,AGA TAG Solar IV LLC,False,unmatched - passthrough
"Bo Biggs Solar, LLC","Bo Biggs Solar, LLC",False,unmatched - passthrough
Gray Yarmouth Road Solar LLC,Gray Yarmouth Road Solar LLC,False,unmatched - passthrough
"County Home Solar, LLC","County Home Solar, LLC",False,unmatched - passthrough
"Meadowlark Solar, LLC","Meadowlark Solar, LLC",False,unmatched - passthrough
SUSI Partners AG,SUSI Partners AG,False,unmatched - passthrough
"Maine DG Solar Harmony, LLC","Maine DG Solar Harmony, LLC",False,unmatched - passthrough
"REC RWD, LLC","REC RWD, LLC",False,unmatched - passthrough
SunVest Solar LLC,SunVest Solar LLC,False,unmatched - passthrough
Glenburn Broadway Solar One LLC,Glenburn Broadway Solar One LLC,False,unmatched - passthrough
"Ruler Solar Partners, LLC","Ruler Solar Partners, LLC",False,unmatched - passthrough
"Rumford ESS, LLC","Rumford ESS, LLC",False,unmatched - passthrough
"Perkins Solar Holdings, LLC","Perkins Solar Holdings, LLC",False,unmatched - passthrough
SunShare Management,SunShare Management,False,unmatched - passthrough
SAH Holdings,SAH Holdings,False,unmatched - passthrough
"SR Byhalia, LLC","SR Byhalia, LLC",False,unmatched - passthrough
"BWC Origination 18, LLC","BWC Origination 18, LLC",False,unmatched - passthrough
"Tinker Farm, LLC","Tinker Farm, LLC",False,unmatched - passthrough
Graham Solar Center LLC,Graham Solar Center LLC,False,unmatched - passthrough
"Crawfordsville 3 Solar Array, LLC","Crawfordsville 3 Solar Array, LLC",False,unmatched - passthrough
BearPond Solar Center LLC,BearPond Solar Center LLC,False,unmatched - passthrough
Hanover II PV LLC,Hanover II PV LLC,False,unmatched - passthrough
Ergon Refining Inc,Ergon Refining Inc,False,unmatched - passthrough
Rollingstone Holdco LLC,Rollingstone Holdco LLC,False,unmatched - passthrough
"ACE-Stanton, LLC","ACE-Stanton, LLC",False,unmatched - passthrough
"Enel X North America, Inc",Enel Green Power,True,rule
Shankle Solar Center LLC,Shankle Solar Center LLC,False,unmatched - passthrough
DTE San Diego COGEN Inc.,DTE Energy,True,rule
"SR Greenville I, LLC","SR Greenville I, LLC",False,unmatched - passthrough
"SR Panola I, LLC","SR Panola I, LLC",False,unmatched - passthrough
"SR Panola II, LLC","SR Panola II, LLC",False,unmatched - passthrough
Dessie Solar Center LLC,Dessie Solar Center LLC,False,unmatched - passthrough
Reactivate,Reactivate,False,unmatched - passthrough
"SR Monroe, LLC","SR Monroe, LLC",False,unmatched - passthrough
"SR West Marshall, LLC","SR West Marshall, LLC",False,unmatched - passthrough
"SR Clarksville II, LLC","SR Clarksville II, LLC",False,unmatched - passthrough
"SR Greenville II, LLC","SR Greenville II, LLC",False,unmatched - passthrough
Kearsarge Solar LLC,Kearsarge Solar LLC,False,unmatched - passthrough
"Syncarpha Palmer, LLC","Syncarpha Palmer, LLC",False,unmatched - passthrough
"SL Jamestown II, LLC","SL Jamestown II, LLC",False,unmatched - passthrough
New Mexico State University,Institutional Self-Generation (various),False,rule
"Syncarpha Westminster, LLC","Syncarpha Westminster, LLC",False,unmatched - passthrough
"SL Sherman, LLC","SL Sherman, LLC",False,unmatched - passthrough
Phoenix Solar South Farms LLC,Phoenix Solar South Farms LLC,False,unmatched - passthrough
Naperville Trust,Naperville Trust,False,unmatched - passthrough
"Mondelez Global, LLC","Mondelez Global, LLC",False,unmatched - passthrough
"EnLink Processing Services, LLC","EnLink Processing Services, LLC",False,unmatched - passthrough
"Blandford Sun, LLC","Blandford Sun, LLC",False,unmatched - passthrough
CVI CleanCapital Solar 4 LLC,CVI CleanCapital Solar 4 LLC,False,unmatched - passthrough
St Mary's Hospital,Institutional Self-Generation (various),False,rule
"Golden Hills Solar, LLC","Golden Hills Solar, LLC",False,unmatched - passthrough
Broshco Fabricated Products,Broshco Fabricated Products,False,unmatched - passthrough
Marina Energy LLC,Marina Energy LLC,False,unmatched - passthrough
"NextGrid Corkwood, LLC","NextGrid Corkwood, LLC",False,unmatched - passthrough
Norton Powerhouse 2,Norton Powerhouse 2,False,unmatched - passthrough
"Fisher Road Solar I, LLC","Fisher Road Solar I, LLC",False,unmatched - passthrough
"NextGrid Mastic, LLC","NextGrid Mastic, LLC",False,unmatched - passthrough
California State University at Fullerton,Institutional Self-Generation (various),False,rule
"NextGrid Mangrove, LLC","NextGrid Mangrove, LLC",False,unmatched - passthrough
The George Washington University,Institutional Self-Generation (various),False,rule
"NextGrid Bitterbush, LLC","NextGrid Bitterbush, LLC",False,unmatched - passthrough
"55 Drive BESS, LLC","55 Drive BESS, LLC",False,unmatched - passthrough
Solar Star Prime 4 LLC,Solar Star Prime 4 LLC,False,unmatched - passthrough
Westbound Solar LLC,Westbound Solar LLC,False,unmatched - passthrough
Frito Lay Incorporated Dayville,Frito Lay Incorporated Dayville,False,unmatched - passthrough
Atlantic Health System,Atlantic Health System,False,unmatched - passthrough
"NSF Torrey Site 1, LLC","NSF Torrey Site 1, LLC",False,unmatched - passthrough
OBP Cogen LLC,OBP Cogen LLC,False,unmatched - passthrough
Princeton Energy Center LLC,Princeton Energy Center LLC,False,unmatched - passthrough
"Paulding Wind 28, LLC","Paulding Wind 28, LLC",False,unmatched - passthrough
"Fox Islands Electric Coop, Inc",Electric Cooperative (various),False,rule
Kearsarge Concord II LLC,Kearsarge Concord II LLC,False,unmatched - passthrough
"Route 3 China 2022 Parent, LLC","Route 3 China 2022 Parent, LLC",False,unmatched - passthrough
SCV Water,SCV Water,False,unmatched - passthrough
Narragansett Bay Commission,Narragansett Bay Commission,False,unmatched - passthrough
"Buckheart Creek Solar 1, LLC","Buckheart Creek Solar 1, LLC",False,unmatched - passthrough
Key Equipment Finance,Key Equipment Finance,False,unmatched - passthrough
Ashland Solar LLC,Ashland Solar LLC,False,unmatched - passthrough
Dynamic Energy Holdings LLC,Dynamic Energy Holdings LLC,False,unmatched - passthrough
Town of West Warwick,Municipal / Public Utility (various),False,rule
"ENGIE 2019 ProjectCo MA-1, LLC",Engie North America,True,rule
Gaylord Entertainment Co,Gaylord Entertainment Co,False,unmatched - passthrough
"Findlay Wind 30, LLC","Findlay Wind 30, LLC",False,unmatched - passthrough
"Iron Horse Solar 4, LLC","Iron Horse Solar 4, LLC",False,unmatched - passthrough
Tinta Wita Energy LLC,Tinta Wita Energy LLC,False,unmatched - passthrough
Catalyze Mira Loma 3251 De Forest Circle Microgrid LLC,Catalyze Mira Loma 3251 De Forest Circle Microgrid LLC,False,unmatched - passthrough
Fairfield University,Institutional Self-Generation (various),False,rule
Helios Energy New York 2 LLC,Helios Energy New York 2 LLC,False,unmatched - passthrough
Kern Oil & Refining Co,Kern Oil & Refining Co,False,unmatched - passthrough
"Continental Divide Solar II, LLC","Continental Divide Solar II, LLC",False,unmatched - passthrough
Cooper Hatchery Inc.,Cooper Hatchery Inc.,False,unmatched - passthrough
"Seagrove Farm, LLC","Seagrove Farm, LLC",False,unmatched - passthrough
"Sandusky Wind 33, LLC","Sandusky Wind 33, LLC",False,unmatched - passthrough
"SunE B9 Holdings, LLC","SunE B9 Holdings, LLC",False,unmatched - passthrough
"Lake Emily Solar, LLC","Lake Emily Solar, LLC",False,unmatched - passthrough
"Mt. Tom Solar, LLC","Mt. Tom Solar, LLC",False,unmatched - passthrough
Heimlich Solar Partners LLC,Heimlich Solar Partners LLC,False,unmatched - passthrough
CPV Beaver Ridge Wind LLC,CPV / Competitive Power Ventures,False,rule
Wales Leeds Junction Solar LLC,Wales Leeds Junction Solar LLC,False,unmatched - passthrough
One Energy Capital Corporation LLC,One Energy Capital Corporation LLC,False,unmatched - passthrough
"Heedeh Solar, LLC","Heedeh Solar, LLC",False,unmatched - passthrough
"RPNY Solar 2, LLC","RPNY Solar 2, LLC",False,unmatched - passthrough
BWC Hamilton Brook LLC,BWC Hamilton Brook LLC,False,unmatched - passthrough
"Hastings Solar, LLC","Hastings Solar, LLC",False,unmatched - passthrough
Haviland Plastic Products Co,Haviland Plastic Products Co,False,unmatched - passthrough
Air Force Civil Engineer Center,Air Force Civil Engineer Center,False,unmatched - passthrough
Stenner Creek Solar LLC,Stenner Creek Solar LLC,False,unmatched - passthrough
"Milo CSG, LLC","Milo CSG, LLC",False,unmatched - passthrough
"Greenville Wind 26, LLC","Greenville Wind 26, LLC",False,unmatched - passthrough
Manville Hill Road Solar LLC,Manville Hill Road Solar LLC,False,unmatched - passthrough
TianRun Uilk LLC,TianRun Uilk LLC,False,unmatched - passthrough
Sophie Solar LLC,Sophie Solar LLC,False,unmatched - passthrough
"Shoe Show, Inc.","Shoe Show, Inc.",False,unmatched - passthrough
Kotzebue Electric Assn Inc,Kotzebue Electric Assn Inc,False,unmatched - passthrough
"BESSP1, LLC.","BESSP1, LLC.",False,unmatched - passthrough
NSF Chateaugay Site 2 LLC,NSF Chateaugay Site 2 LLC,False,unmatched - passthrough
Kearsarge William Way LLC,Kearsarge William Way LLC,False,unmatched - passthrough
"Mohave Electric Cooperative, Inc.",Electric Cooperative (various),False,rule
"Outback Solar, LLC","Outback Solar, LLC",False,unmatched - passthrough
VA Sepulveda Ambulatory Care Center,VA Sepulveda Ambulatory Care Center,False,unmatched - passthrough
"DG Moorman Creek, LLC","DG Moorman Creek, LLC",False,unmatched - passthrough
"Potsdam Community Solar 2, LLC","Potsdam Community Solar 2, LLC",False,unmatched - passthrough
"Federal Road Solar 1, LLC","Federal Road Solar 1, LLC",False,unmatched - passthrough
"SR Jonesborough II, LLC","SR Jonesborough II, LLC",False,unmatched - passthrough
Granite Rock Company,Granite Rock Company,False,unmatched - passthrough
"FFP NY Goshen Project1, LLC","FFP NY Goshen Project1, LLC",False,unmatched - passthrough
Bluestem LLC,Bluestem LLC,False,unmatched - passthrough
NY CDG Genesee 4 LLC,NY CDG Genesee 4 LLC,False,unmatched - passthrough
Danbury Hospital,Institutional Self-Generation (various),False,rule
USS Origami Solar LLC,USS Origami Solar LLC,False,unmatched - passthrough
NY USLE Glenville Freemans Bridge LLC,NY USLE Glenville Freemans Bridge LLC,False,unmatched - passthrough
"SL Evans, LLC","SL Evans, LLC",False,unmatched - passthrough
"Dartmouth Farms Solar, LLC","Dartmouth Farms Solar, LLC",False,unmatched - passthrough
Gamesa Wind US LLC,Gamesa Wind US LLC,False,unmatched - passthrough
"SR Albany, LLC","SR Albany, LLC",False,unmatched - passthrough
"GD Johnson Scituate I, LLC","GD Johnson Scituate I, LLC",False,unmatched - passthrough
"Columbia City Solar Array, LLC","Columbia City Solar Array, LLC",False,unmatched - passthrough
NASA Wallops Flight Facility,NASA Wallops Flight Facility,False,unmatched - passthrough
"BWC Origination 4, LLC","BWC Origination 4, LLC",False,unmatched - passthrough
"Seaboard Energy California, LLC","Seaboard Energy California, LLC",False,unmatched - passthrough
"Solar Star Prime 3, LLC","Solar Star Prime 3, LLC",False,unmatched - passthrough
Cargill Inc,Cargill Inc,False,unmatched - passthrough
DG Crystal Spring LLC,DG Crystal Spring LLC,False,unmatched - passthrough
Rochelle Municipal Utilities - (IL),Municipal / Public Utility (various),False,rule
380 Middlesex Solar LLC,380 Middlesex Solar LLC,False,unmatched - passthrough
"Department of the Army, Fort Carson","Department of the Army, Fort Carson",False,unmatched - passthrough
"Catalyze Blackstone 83 Federal Street Microgrid, LLC","Catalyze Blackstone 83 Federal Street Microgrid, LLC",False,unmatched - passthrough
Mississippi Baptist Medical,Mississippi Baptist Medical,False,unmatched - passthrough
"Marshall Wind Farm, LLC","Marshall Wind Farm, LLC",False,unmatched - passthrough
CSL Behring LLC,CSL Behring LLC,False,unmatched - passthrough
UT West Tennessee Solar Farm,UT West Tennessee Solar Farm,False,unmatched - passthrough
"SSC Kirkland, LLC","SSC Kirkland, LLC",False,unmatched - passthrough
Bostonia WSMR SPV LLC,Bostonia WSMR SPV LLC,False,unmatched - passthrough
Hollingsworth & Vose Co West Groton,Hollingsworth & Vose Co West Groton,False,unmatched - passthrough
Maas Energy Works,Maas Energy Works,False,unmatched - passthrough
KDC Solar NJMG LLC,KDC Solar NJMG LLC,False,unmatched - passthrough
"CRE Fund 2, LLC","CRE Fund 2, LLC",False,unmatched - passthrough
"Luminace Solar New Jersey II, LLC","Luminace Solar New Jersey II, LLC",False,unmatched - passthrough
Calpine Vineland Solar LLC,Calpine Group,False,rule
"ACE-Stanton A, LLC","ACE-Stanton A, LLC",False,unmatched - passthrough
Fort Hays State University,Institutional Self-Generation (various),False,rule
"Catalyze Fort Worth 5200 Gold Spike Drive Microgrid, LLC","Catalyze Fort Worth 5200 Gold Spike Drive Microgrid, LLC",False,unmatched - passthrough
Carina Community Solar,Carina Community Solar,False,unmatched - passthrough
"MA CS Uxbridge, LLC","MA CS Uxbridge, LLC",False,unmatched - passthrough
"ESNY-Yorktown, LLC","ESNY-Yorktown, LLC",False,unmatched - passthrough
"DG New Jersey Solar, LLC","DG New Jersey Solar, LLC",False,unmatched - passthrough
"Eagles Solar I, LLC","Eagles Solar I, LLC",False,unmatched - passthrough
"East Windsor Solar Two, LLC","East Windsor Solar Two, LLC",False,unmatched - passthrough
East Victory Way Solar LLC,East Victory Way Solar LLC,False,unmatched - passthrough
"Toms River Net Meter Solar, LLC","Toms River Net Meter Solar, LLC",False,unmatched - passthrough
"Solar DG NJ BEMS West, LLC","Solar DG NJ BEMS West, LLC",False,unmatched - passthrough
Taurus Community Solar,Taurus Community Solar,False,unmatched - passthrough
Ecos Energy LLC,Ecos Energy LLC,False,unmatched - passthrough
"Eagles Solar II, LLC","Eagles Solar II, LLC",False,unmatched - passthrough
River Ranch Farms LLC,River Ranch Farms LLC,False,unmatched - passthrough
"Atwater Solar, LLC","Atwater Solar, LLC",False,unmatched - passthrough
"3232 Batavia Solar, LLC","3232 Batavia Solar, LLC",False,unmatched - passthrough
"SV CSG Prophetstown 1, LLC","SV CSG Prophetstown 1, LLC",False,unmatched - passthrough
Oxford Community Solar LLC,Oxford Community Solar LLC,False,unmatched - passthrough
"Minnesota Solar CSG 1, LLC","Minnesota Solar CSG 1, LLC",False,unmatched - passthrough
"Entegrity Solar LRWRA, LLC","Entegrity Solar LRWRA, LLC",False,unmatched - passthrough
"GLC-(MA) PlymouthSite 1, LLC","GLC-(MA) PlymouthSite 1, LLC",False,unmatched - passthrough
CVE US EI3 Wheatfield LLC,CVE US EI3 Wheatfield LLC,False,unmatched - passthrough
South County Packing,South County Packing,False,unmatched - passthrough
"Solar DG MD Cherry Hill, LLC","Solar DG MD Cherry Hill, LLC",False,unmatched - passthrough
"Maple Street Solar 1, LLC","Maple Street Solar 1, LLC",False,unmatched - passthrough
Chaffey Community College District,Institutional Self-Generation (various),False,rule
Equity Industrial Turbines,Equity Industrial Turbines,False,unmatched - passthrough
CVE US EI7 Belair LLC,CVE US EI7 Belair LLC,False,unmatched - passthrough
"Belchertown Renewables, LLC","Belchertown Renewables, LLC",False,unmatched - passthrough
Hartly Community Energy Initiative LLC,Hartly Community Energy Initiative LLC,False,unmatched - passthrough
"Solar DG NJ BEMS East, LLC","Solar DG NJ BEMS East, LLC",False,unmatched - passthrough
"Redbrook Solar 1, LLC","Redbrook Solar 1, LLC",False,unmatched - passthrough
GRE 314 East Lyme LLC,GRE 314 East Lyme LLC,False,unmatched - passthrough
"Catalyze Newark Solar Farm 2 Microgrid, LLC","Catalyze Newark Solar Farm 2 Microgrid, LLC",False,unmatched - passthrough
"Charlton Solar I, LLC","Charlton Solar I, LLC",False,unmatched - passthrough
LSE Perseus LLC,LSE Perseus LLC,False,unmatched - passthrough
"Lenape Solar II, LLC","Lenape Solar II, LLC",False,unmatched - passthrough
Dayton Power & Light Co,Dayton Power & Light Co,False,unmatched - passthrough
Hecate Energy Blair Road LLC,Hecate Energy,False,rule
"Enfield Solar One, LLC","Enfield Solar One, LLC",False,unmatched - passthrough
Exeter Mills Road Solar LLC,Exeter Mills Road Solar LLC,False,unmatched - passthrough
"McDonough Solar 1, LLC","McDonough Solar 1, LLC",False,unmatched - passthrough
Westford Solar Park,Westford Solar Park,False,unmatched - passthrough
"Fitchburg Renewables, LLC","Fitchburg Renewables, LLC",False,unmatched - passthrough
"Ashley Solar Farm, LLC","Ashley Solar Farm, LLC",False,unmatched - passthrough
Aries Community Solar,Aries Community Solar,False,unmatched - passthrough
"North Palm Springs Investments, LLC","North Palm Springs Investments, LLC",False,unmatched - passthrough
"Catalyze Joliet 1101 Cherry Hill Road Microgrid, LLC","Catalyze Joliet 1101 Cherry Hill Road Microgrid, LLC",False,unmatched - passthrough
Foster Clean Power B LLC,Foster Clean Power B LLC,False,unmatched - passthrough
"Wyman Hill Solar, LLC","Wyman Hill Solar, LLC",False,unmatched - passthrough
Kearsarge Westerly LLC,Kearsarge Westerly LLC,False,unmatched - passthrough
Avon Solar Farm LLC,Avon Solar Farm LLC,False,unmatched - passthrough
Kearsarge Montague LLC,Kearsarge Montague LLC,False,unmatched - passthrough
National Animal Disease Center,National Animal Disease Center,False,unmatched - passthrough
"Forefront Power, LLC","Forefront Power, LLC",False,unmatched - passthrough
ASA Gouverneur NY Solar II LLC,ASA Gouverneur NY Solar II LLC,False,unmatched - passthrough
"SunE P11L Holdings, LLC","SunE P11L Holdings, LLC",False,unmatched - passthrough
"NY Thompson III, LLC","NY Thompson III, LLC",False,unmatched - passthrough
"Nutting Ridge 2023 Parent, LLC","Nutting Ridge 2023 Parent, LLC",False,unmatched - passthrough
"LSE Dorado, LLC","LSE Dorado, LLC",False,unmatched - passthrough
Double J Dairy,Double J Dairy,False,unmatched - passthrough
Delaware Electric Cooperative,Electric Cooperative (various),False,rule
"Nabholz Solar FPS, LLC","Nabholz Solar FPS, LLC",False,unmatched - passthrough
"Generate Community Solar MM IX, LLC","Generate Community Solar MM IX, LLC",False,unmatched - passthrough
"1639 RT 29 Solar 1, LLC","1639 RT 29 Solar 1, LLC",False,unmatched - passthrough
CD US Solar MT 2 LLC,CD US Solar MT 2 LLC,False,unmatched - passthrough
"Morin Solar 2013, LLC","Morin Solar 2013, LLC",False,unmatched - passthrough
"BWC Gibbs Brook, LLC","BWC Gibbs Brook, LLC",False,unmatched - passthrough
"Off Airport Road - West, LLC","Off Airport Road - West, LLC",False,unmatched - passthrough
"Brick Church Solar 1, LLC","Brick Church Solar 1, LLC",False,unmatched - passthrough
"SR Clinch, LLC","SR Clinch, LLC",False,unmatched - passthrough
Chisago Community Solar,Chisago Community Solar,False,unmatched - passthrough
CD US Solar PO 2 LLC,CD US Solar PO 2 LLC,False,unmatched - passthrough
ASD Three Rivers Road MA Solar LLC,ASD Three Rivers Road MA Solar LLC,False,unmatched - passthrough
Cokato Holdco LLC,Cokato Holdco LLC,False,unmatched - passthrough
"Route 14A CDG Solar North and South, LLC","Route 14A CDG Solar North and South, LLC",False,unmatched - passthrough
"AZ-REA 2021 Solar Holdings ME, LLC","AZ-REA 2021 Solar Holdings ME, LLC",False,unmatched - passthrough
GCC Trident LLC,GCC Trident LLC,False,unmatched - passthrough
"BWC East Brook, LLC","BWC East Brook, LLC",False,unmatched - passthrough
"POET Biorefining-Hanlontown, LLC","POET Biorefining-Hanlontown, LLC",False,unmatched - passthrough
Patheon Manufacturing Service LLC,Patheon Manufacturing Service LLC,False,unmatched - passthrough
"6140 Route 209 - North, LLC","6140 Route 209 - North, LLC",False,unmatched - passthrough
Frankfort Solar Farm LLC,Frankfort Solar Farm LLC,False,unmatched - passthrough
White Brook Renewables LLC,White Brook Renewables LLC,False,unmatched - passthrough
"Syncarpha Bondsville, LLC","Syncarpha Bondsville, LLC",False,unmatched - passthrough
"United Power, Inc","United Power, Inc",False,unmatched - passthrough
"Luminace Solar Federal, LLC","Luminace Solar Federal, LLC",False,unmatched - passthrough
"Pine Island Holdco, LLC","Pine Island Holdco, LLC",False,unmatched - passthrough
Nationwide Solar Energy LLC,Nationwide Solar Energy LLC,False,unmatched - passthrough
"Marie's Way Solar I, LLC","Marie's Way Solar I, LLC",False,unmatched - passthrough
POET Bioprocessing- Mitchell,POET Bioprocessing- Mitchell,False,unmatched - passthrough
Telyon AMZ Windsor LLC,Telyon AMZ Windsor LLC,False,unmatched - passthrough
"Hadley 3 Solar, LLC (North)","Hadley 3 Solar, LLC (North)",False,unmatched - passthrough
"POET Biorefining - North Manchester, LLC","POET Biorefining - North Manchester, LLC",False,unmatched - passthrough
"ABC Coke - Drummond Co, Inc","ABC Coke - Drummond Co, Inc",False,unmatched - passthrough
Eastern Maine Medical Center,Institutional Self-Generation (various),False,rule
"SRC Partnership 3, LLC","SRC Partnership 3, LLC",False,unmatched - passthrough
"POET Biorefining Caro, LLC","POET Biorefining Caro, LLC",False,unmatched - passthrough
Maryland Environmental Service,Maryland Environmental Service,False,unmatched - passthrough
Marion Solar LLC,Marion Solar LLC,False,unmatched - passthrough
"Solitude Solar New Hartford Oxford Microgrid, LLC","Solitude Solar New Hartford Oxford Microgrid, LLC",False,unmatched - passthrough
Central Michigan University,Institutional Self-Generation (various),False,rule
"MA CS Dighton, LLC","MA CS Dighton, LLC",False,unmatched - passthrough
"DG Amaze New Jersey, LLC","DG Amaze New Jersey, LLC",False,unmatched - passthrough
Avidan Energy Solutions,Avidan Energy Solutions,False,unmatched - passthrough
"Rensselaer 2 Solar Array, LLC","Rensselaer 2 Solar Array, LLC",False,unmatched - passthrough
DOCCS Midstate,DOCCS Midstate,False,unmatched - passthrough
LSE Pisces LLC,LSE Pisces LLC,False,unmatched - passthrough
Limestone CSG 1 LLC,Limestone CSG 1 LLC,False,unmatched - passthrough
"Community Renewables, LLC","Community Renewables, LLC",False,unmatched - passthrough
"SB-REA 2021 Solar Holdings, LLC","SB-REA 2021 Solar Holdings, LLC",False,unmatched - passthrough
Kearsarge SKSC1 LLC,Kearsarge SKSC1 LLC,False,unmatched - passthrough
"Tides Lane Solar, LLC","Tides Lane Solar, LLC",False,unmatched - passthrough
DOCCS Greenhaven,DOCCS Greenhaven,False,unmatched - passthrough
Solar Mission SunE LLC,Solar Mission SunE LLC,False,unmatched - passthrough
Colonial Pipeline Company,Colonial Pipeline Company,False,unmatched - passthrough
Shell Chemical LP,Industrial Self-Generation (various),False,rule
"Solar DG NJ Brookdale, LLC","Solar DG NJ Brookdale, LLC",False,unmatched - passthrough
"Dresser Hill Solar, LLC","Dresser Hill Solar, LLC",False,unmatched - passthrough
Kearsarge Ludlow LLC,Kearsarge Ludlow LLC,False,unmatched - passthrough
Cincinnati Zoo & Botanical Garden,Cincinnati Zoo & Botanical Garden,False,unmatched - passthrough
POET Biorefining - Hudson,POET Biorefining - Hudson,False,unmatched - passthrough
"Limelight Solar III, LLC","Limelight Solar III, LLC",False,unmatched - passthrough
Wolf Solar LLC,Wolf Solar LLC,False,unmatched - passthrough
"Montague Road Solar, LLC","Montague Road Solar, LLC",False,unmatched - passthrough
"Clear Solar Holding, LLC","Clear Solar Holding, LLC",False,unmatched - passthrough
CES Agawam Tuckahoe Solar LLC,CES Agawam Tuckahoe Solar LLC,False,unmatched - passthrough
"Syncarpha Northampton, LLC","Syncarpha Northampton, LLC",False,unmatched - passthrough
"POET Biorefining - Alexandria, LLC.","POET Biorefining - Alexandria, LLC.",False,unmatched - passthrough
"EF NY CDG 010, LLC","EF NY CDG 010, LLC",False,unmatched - passthrough
Ameresco San Joaquin Solar LLC,Ameresco San Joaquin Solar LLC,False,unmatched - passthrough
Dow Jones & Co,Dow Jones & Co,False,unmatched - passthrough
ME Sandy River LLC,ME Sandy River LLC,False,unmatched - passthrough
"Fresh Air Energy XV, LLC","Fresh Air Energy XV, LLC",False,unmatched - passthrough
Poet Bioprocessing Emmetsburg,Poet Bioprocessing Emmetsburg,False,unmatched - passthrough
California Family Foods,California Family Foods,False,unmatched - passthrough
"SR Panola III, LLC","SR Panola III, LLC",False,unmatched - passthrough
"Gilead Farm, LLC","Gilead Farm, LLC",False,unmatched - passthrough
Central Contra Costa Sanitary District,Central Contra Costa Sanitary District,False,unmatched - passthrough
Sun E N7 Holdings LLC,Sun E N7 Holdings LLC,False,unmatched - passthrough
