site,year,month_start,signature_final,confidence,D,score,value_usd,value_usd_quick,rec_pct
Dry Lake Solar Energy Center,2025,2025-06-01,OUTAGE_FULL,HIGH,0.7776557485824587,0.2223442514175413,1271265.8541811723,1249289.8304172275,0.9
Topaz Solar Farm,2025,2025-02-01,BLOCK_OUTAGE,MEDIUM,0.4531952262675315,0.5468047737324685,1267251.825031421,1230120.9,0.9
Fighting Jays Solar Project,2024,2024-08-01,SOILING,MEDIUM,0.5840554696165573,0.4159445303834427,1261073.0323366497,1232212.4691358025,0.85
Aktina Solar,2022,2022-05-01,UNATTRIBUTED,LOW,0.5737290104166042,0.4262709895833958,1252068.7021838294,0.0,0.35
Holstein 1 Solar Farm,2025,2025-07-01,SOILING,MEDIUM,0.6547985560340628,0.3452014439659372,1250773.1631182362,1225177.6032171582,0.85
Greasewood Solar,2022,2022-09-01,TRACKER,MEDIUM,0.6034085724819602,0.3965914275180398,1234377.285564106,1207013.6373056995,0.8
Greasewood Solar,2024,2024-02-01,OUTAGE_FULL,HIGH,0.7567295170148916,0.24327048298510842,1224557.5823743367,1202814.0,0.9
Sun Streams 2,2024,2024-04-01,OUTAGE_FULL,HIGH,0.7520407741241731,0.24795922587582683,1218770.248610632,1196996.9142857143,0.9
Blythe Mesa Solar II,2024,2024-04-01,BLOCK_OUTAGE,HIGH,0.4926331805746822,0.5073668194253178,1215960.6130158291,1183107.6973947897,0.9
Impact Solar 1,2021,2021-10-01,OUTAGE_FULL,MEDIUM,1.0,0.0,1207568.4985076599,1191272.3727272728,0.9
Delilah Solar Energy LLC,2022,2022-07-01,UNATTRIBUTED,LOW,1.0,0.0,1185128.6474475572,0.0,0.35
Delilah Solar Energy LLC,2023,2023-08-01,UNATTRIBUTED,LOW,1.0,0.0,1179571.9522112557,0.0,0.35
Topaz Solar Farm,2026,2026-05-01,UNATTRIBUTED,LOW,0.625499988256791,0.374500011743209,1168324.6666581172,1143320.4099737532,0.35
Impact Solar 1,2021,2021-08-01,OUTAGE_FULL,MEDIUM,0.7122974672821671,0.2877025327178328,1162128.4031352566,1140230.4,0.9
Waco Solar,2026,2026-03-01,BOS_INTERMITTENT,MEDIUM,0.47499585219307605,0.525004147806924,1152561.2611534807,1120297.3661443638,0.7
Mockingbird Solar Center,2024,2024-04-01,UNATTRIBUTED,LOW,0.9808672897732696,0.019132710226730392,1149293.947600903,0.0,0.35
Aktina Solar,2021,2021-09-01,UNATTRIBUTED,LOW,0.7819614287606784,0.21803857123932163,1145558.7161012387,0.0,0.35
"Old 300 Solar Center, LLC",2025,2025-11-01,SOILING,MEDIUM,0.523526399581681,0.476473600418319,1142421.416632369,1113330.4077825162,0.85
Delilah Solar Energy LLC,2022,2022-06-01,UNATTRIBUTED,LOW,1.0,0.0,1133776.2664119904,0.0,0.35
"SE Athos II, LLC",2024,2024-04-01,BOS_INTERMITTENT,MEDIUM,0.6412209987958218,0.35877900120417816,1124779.1149184075,1101284.671755725,0.7
Fighting Jays Solar Project,2024,2024-07-01,SOILING,MEDIUM,0.5911009174311928,0.4088990825688073,1120658.2929365055,1095310.0000000002,0.85
Delilah Solar Energy LLC,2024,2024-06-01,UNATTRIBUTED,LOW,1.0,0.0,1119569.6668335432,0.0,0.35
Samson Solar Energy III LLC,2024,2024-08-01,SOILING,HIGH,0.6454132572978294,0.3545867427021706,1117023.8562026892,1093839.8148148144,0.85
Mockingbird Solar Center,2024,2024-06-01,UNATTRIBUTED,LOW,0.601396700333529,0.39860329966647096,1101794.0797542688,0.0,0.35
Mockingbird Solar Center,2024,2024-05-01,UNATTRIBUTED,LOW,0.7565143656749534,0.24348563432504658,1098050.1759526776,0.0,0.35
Delilah Solar Energy LLC,2023,2023-07-01,UNATTRIBUTED,LOW,1.0,0.0,1086646.535200697,0.0,0.35
Panoche Valley Solar Farm,2023,2023-04-01,OUTAGE_FULL,HIGH,0.7603689336342484,0.23963106636575163,1081343.859893066,1062233.4973488867,0.9
Samson Solar Energy III LLC,2024,2024-07-01,SOILING,HIGH,0.6559830435945027,0.34401695640549734,1078010.2726447547,1055989.1159844052,0.85
Delilah Solar Energy LLC,2024,2024-08-01,UNATTRIBUTED,LOW,1.0,0.0,1067621.0466439463,0.0,0.35
"Copper Mountain Solar 5, LLC",2021,2021-05-01,UNATTRIBUTED,LOW,0.9273145078267417,0.07268549217325826,1067238.8381626038,0.0,0.35
Delilah Solar Energy LLC,2024,2024-07-01,UNATTRIBUTED,LOW,1.0,0.0,1066586.1159492969,0.0,0.35
Robins Air Force Base Solar,2024,2024-04-01,OUTAGE_FULL,HIGH,1.0,0.0,1059041.7587940714,1044750.0000000001,0.9
Delilah Solar Energy LLC,2023,2023-06-01,UNATTRIBUTED,LOW,1.0,0.0,1052926.8150836541,0.0,0.35
Impact Solar 1,2021,2021-11-01,OUTAGE_FULL,MEDIUM,1.0,0.0,1051649.781911813,1037457.7777777778,0.9
"CA Flats Solar 150, LLC",2026,2026-04-01,OUTAGE_FULL,MEDIUM,0.779711869378374,0.22028813062162605,1049839.8829617272,1031738.6215384617,0.9
Sun Streams 2,2026,2026-04-01,OUTAGE_FULL,MEDIUM,0.7593281534064646,0.2406718465935353,1048509.9841246837,1029954.93877551,0.9
"SE Athos II, LLC",2024,2024-03-01,BOS_INTERMITTENT,MEDIUM,0.697145434051611,0.30285456594838894,1043738.7560777969,1023652.3427348526,0.7
Athos Solar Project,2024,2024-05-01,BOS_INTERMITTENT,MEDIUM,0.411275692369778,0.588724307630222,1043679.4354443067,1010082.691821567,0.7
Delilah Solar Energy LLC,2022,2022-09-01,UNATTRIBUTED,LOW,1.0,0.0,1039717.3784815508,0.0,0.35
"Copper Mountain Solar 5, LLC",2021,2021-04-01,UNATTRIBUTED,LOW,1.0,0.0,1032908.7539142286,0.0,0.35
Aktina Solar,2022,2022-03-01,UNATTRIBUTED,LOW,0.5704180570719533,0.42958194292804674,1027594.2998079722,0.0,0.35
Quinto Solar PV Project,2023,2023-04-01,OUTAGE_FULL,HIGH,0.9946231878862983,0.005376812113701653,1012651.1625027143,998912.5714285716,0.9
