plant_id,plant_name,state,hybrid_reasons
64618,Kearsarge Haverhill,MA,pv_same_plant
64619,Kearsarge Upper Union,MA,pv_same_plant
64620,Kearsarge Montague BD(CSG),MA,pv_same_plant
64624,Hudson - High Desert Hybrid,CA,"pv_same_plant,dc_coupled"
64627,Blodgett Solar CSG,MA,pv_same_plant
64630,"Rabbitbrush Solar, LLC",CA,"pv_same_plant,dc_tight"
64633,Rexford Solar Farm,CA,pv_same_plant
64640,Hot Springs Energy Storage & Microgrid,NC,"pv_same_plant,dc_coupled"
64656,AES West Oahu Solar Hybrid,HI,"rte_gt_1,pv_same_plant,dc_coupled"
64664,"Clark Road Solar 1, LLC",MA,"colocated_firming,pv_same_plant,dc_coupled"
64672,"Blue Jay Solar I, LLC",TX,pv_same_plant
64686,Orangeville Storage,NY,"rte_gt_1,dc_coupled"
64695,Angel Fire Energy Facility,NM,pv_same_plant
64696,"Dunstable Solar 1, LLC",MA,"rte_gt_1,pv_same_plant,dc_tight"
